03/02/22 08:31:44:821 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | LastUpdateCheckDurationPassed cached 1646010184 , curr 1646184704 res = 1
03/02/22 08:31:44:821 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17716 | LastUpdateCheckDurationPassed cached 1646010184 , curr 1646184704 res = 1
03/02/22 08:31:44:821 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 17856 | Preparing Data For CFU started
03/02/22 08:31:44:821 | [INFO] |  |  |  | SLCoreService |  |  | 17716 | Preparing Data For CFU started
03/02/22 08:31:44:821 | [INFO] |  |  |  | SLCoreService |  |  | 17856 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:31:44:822 | [ERROR] |  |  |  | SLCoreService |  |  | 17856 | user based licensing: 0
03/02/22 08:31:44:822 | [INFO] |  |  |  | SLCoreService |  |  | 17856 | Service construction took 0.5 ms and succeed.
03/02/22 08:31:45:471 | [INFO] |  |  |  | SLCoreService |  |  | 17716 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
03/02/22 08:31:45:471 | [INFO] |  |  |  | SLCoreService |  |  | 17716 | Service destruction took 0.2 ms and succeed.
03/02/22 08:31:46:112 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17856 | Signature found
03/02/22 08:31:46:112 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Signature found
03/02/22 08:31:46:112 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17856 | Found valid signature, checking if signed by Adobe or not
03/02/22 08:31:46:112 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Found valid signature, checking if signed by Adobe or not
03/02/22 08:31:46:190 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Signature found
03/02/22 08:31:46:190 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17856 | Signature found
03/02/22 08:31:46:207 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Client app successfully signed
03/02/22 08:31:46:282 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Signature found
03/02/22 08:31:46:282 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17716 | Found valid signature, checking if signed by Adobe or not
03/02/22 08:31:46:287 | [INFO] |  |  |  | AdobeGCCodeSignWrapper |  |  | 17856 | Client app successfully signed
